iter	Passed	Remaining
862	1040	165
863	1041	163
864	1042	162
865	1043	161
866	1044	160
867	1045	158
868	1046	157
869	1047	156
870	1048	155
871	1048	153
872	1049	152
873	1050	151
874	1051	150
875	1052	149
876	1054	147
877	1055	146
878	1056	145
879	1057	144
880	1058	142
881	1059	141
882	1061	140
883	1062	139
884	1063	138
885	1064	136
886	1065	135
887	1065	134
888	1066	133
889	1067	131
890	1069	130
891	1070	129
892	1071	128
893	1071	127
894	1072	125
895	1073	124
896	1074	123
897	1075	122
898	1076	120
899	1077	119
900	1078	118
901	1079	117
902	1080	116
903	1081	114
904	1083	113
905	1085	112
906	1086	111
907	1087	110
908	1088	108
909	1089	107
910	1090	106
911	1091	105
912	1092	104
913	1092	102
914	1093	101
915	1094	100
916	1095	99
917	1096	97
918	1097	96
919	1099	95
920	1100	94
921	1101	93
922	1102	91
923	1103	90
924	1104	89
925	1104	88
926	1105	87
927	1106	85
928	1107	84
929	1108	83
930	1109	82
931	1110	80
932	1111	79
933	1112	78
934	1113	77
935	1114	76
936	1115	75
937	1116	73
938	1117	72
939	1118	71
940	1119	70
941	1120	68
942	1121	67
943	1122	66
944	1123	65
945	1124	64
946	1125	62
947	1126	61
948	1126	60
949	1128	59
950	1129	58
951	1130	57
952	1131	55
953	1132	54
954	1133	53
955	1134	52
956	1135	51
957	1136	49
958	1137	48
959	1138	47
960	1139	46
961	1140	45
962	1140	43
963	1141	42
964	1142	41
965	1144	40
966	1145	39
967	1147	37
968	1148	36
969	1149	35
970	1150	34
971	1151	33
972	1152	31
973	1153	30
974	1154	29
975	1155	28
976	1156	27
977	1156	26
978	1158	24
979	1160	23
980	1161	22
981	1162	21
982	1163	20
983	1163	18
984	1164	17
985	1165	16
986	1166	15
987	1167	14
988	1167	12
989	1168	11
990	1169	10
991	1170	9
992	1170	8
993	1171	7
994	1172	5
995	1174	4
996	1175	3
997	1176	2
998	1177	1
999	1178	0
